,Date,Day,Month,Year,Islamic Date,Blast Day Type,Holiday Type,Time,City,Latitude,Longitude,Province,Location,Location Category,Location Sensitivity,Open/Closed Space,Influencing Event/Event,Target Type,Targeted Sect if any,Killed Min,Killed ,Injured Min,Injured ,No. of Suicide Blasts,Explosive Weight (max),Hospital Names,Temperature(C),Temperature(F),Weekend
0,19,Sunday,November,1995,26 Jumada al-Akhirah 1416,Holiday,Weekend,,Islamabad,33.718,73.0718,Capital,Egyptian Embassy,Foreign,High,Closed,,Foreigner,,14.0,15.0,,60.0,2.0,,,15.835,60.503,1
1,6,Monday,November,2000,10 Sha’ban 1421,Working Day,,,Karachi,24.9918,66.9911,Sindh,office of Nawa-e-Waqt,Office Building,Low,Closed,,Media,,,3.0,,3.0,1.0,,,23.77,74.786,0
2,8,Wednesday,May,2002,25 Safar 1423,Working Day,,07:45:00,Karachi,24.9918,66.9911,Sindh,Pakistan Navy bus Parked outside Five Star Sheraton Hotel ,Hotel,Medium,Closed,,Foreigner,Christian,13.0,15.0,20.0,40.0,1.0,2.5 Kg,1.Jinnah Postgraduate Medical Center 2. Civil Hospital Karachi3. PN Shifa,31.46,88.62799999999999,0
3,14,Friday,June,2002,03 Rabi’ al-Thani 1423,Working Day,,11:10:00,Karachi,24.9918,66.9911,Sindh,US Consulate Civil Lines Area ,Foreign,High,Closed,,Foreigner,Christian,,12.0,,51.0,1.0,,,31.43,88.574,0
4,4,Friday,July,2003,04 Jumada al-Ula 1424,Working Day,,,Quetta,30.2095,67.0182,Balochistan,Imambargah MeCongy Road Quetta,Religious,Medium,Closed,during Friday prayer,Religious,Shiite,44.0,47.0,,65.0,1.0,,"1.CMH Quetta
2.Civil Hospital 3. Boland Medical Complex",33.12,91.616,0
5,25,Thursday,December,2003,02 Dhul-Qi’dah 1424,Holiday,Christmas/birthday of Quaid-e-Azam,1:40:00 PM/1:42:00 PM,Rawalpindi,33.6058,73.0437,Punjab,Jhanda Chichi area rawalpindi ,Mobile,Low,Open,president's/chief of army staff convoy passing from there,Military,,16.0,18.0,,50.0,2.0,30kg in each car,"1.District headquarters 
Hospital",9.445,49.001000000000005,0
6,28,Saturday,February,2004,08 Muharram 1425,Working Day,Weekend,,Rawalpindi,33.6058,73.0437,Punjab,Yadgar-i-Hussaini in Satellite Town,Religious,Medium,Closed,maghrib prayer was in process,Religious,Shiite,,1.0,3.0,4.0,1.0,,,15.275,59.495,1
7,7,Friday,May,2004,18 Rabi’ al-Awwal 1425,Working Day,,1:20:00/1:17:00 PM,Karachi,24.9918,66.9911,Sindh,KarachiShia mosque Sindh Madrassatul Islam,Religious,Medium,Closed,Friday prayer was in progress,Religious,Shiite,14.0,15.0,96.0,200.0,1.0,2kg,Civil hospital,33.86,92.948,0
8,31,Monday,May,2004,12 Rabi’ al-Thani 1425,Working Day,,evening,Karachi,24.9918,66.9911,Sindh,Imambargah off M.A Jinnah road near Numaish intersection,Religious,Medium,Closed,,Religious,Shiite,16.0,18.0,,35.0,1.0,,Civil hospital-Liaquat National hospital-Jinnah Postgraduate Medical Center,31.605,88.889,0
9,3,Thursday,June,2004,15 Rabi’ al-Thani 1425,Working Day,,,North waziristan,32.9746,70.1456,FATA,checkpost in north waziristan-close to Afghanistan border,Military,High,Open,,Military,,,2.0,,2.0,1.0,,,27.18,80.92399999999999,0
10,28,Wednesday,July,2004,11 Jumada al-Akhirah 1425,Working Day,,8:50:PM,Kohat,33.5833,71.4333,KPK,Near military facility/official Residence of General Officer Commanding,Residential,High,Closed,Army,Military,,2.0,3.0,,3.0,2.0,,CMH Kohat,32.43,90.374,0
11,30,Friday,July,2004,13 Jumada al-Akhirah 1425,Working Day,,19:20:00,Attock,33.7645,72.3667,Punjab, Mr Aziz election rally in jaffar village in fateh jang,Parks Grounds,Low,Open,Election rally ,Government Official,,,7.0,44.0,70.0,1.0,,1.District Headquarters hospital-rwp 2.PIMS Hospital 3. Tehsil headquarters hospital-Fateh Jang,26.665,79.997,0
12,1,Friday,October,2004,17 Sha’ban 1425,Working Day,,1:27 PM/1:25 PM,Sialkot,32.4972,74.5361,Punjab,zainabia mosque-just a Km away from city Police & Rangers station on Raja road,Religious,Medium,Closed,Friday prayer,Religious,Shiite,25.0,31.0,50.0,75.0,1.0,,Allama Iqbal Memorial DHQ Hospital-Sardar Begum Hospital-and numner of other hospitals in Sialkot-Daska-Gujranwala and Lahore,27.51,81.518,0
13,10,Sunday,October,2004,26 Sha’ban 1425,Holiday,Weekend,5:55:00/6:40:00 PM,Lahore,31.5451,74.3407,Punjab,Jamia Masjid Kashmirian in Mochi Gate,Religious,Medium,Closed,Jamia Masjid /Shia Mosque,Religious,Shiite,4.0,5.0,6.0,10.0,1.0,,Mayo Hospital,24.39,75.902,1
14,19,Saturday,March,2005,09 Safar 1426,Working Day,Weekend,11.45PM /10.30 pm,Quetta,30.2095,67.0182,Balochistan,Gandava Town Shrine,Religious,Medium,Closed,Urs Ceremony,Religious,Shiite,25.0,50.0,8.0,100.0,1.0,,,16.5,61.7,1
15,28,Thursday,April,2005,19 Rabi’ al-Awwal 1426,Working Day,,,Swat,35.2227,72.4258,KPK,Baidara village of Matta-District Swat,Parks Grounds,Low,Open,,Civilian,,,2.0,,,1.0,,,19.935,67.883,0
16,27,Friday,May,2005,19 Rabi’ al-Thani 1426,Working Day,,11:00:00,Islamabad,33.718,73.0718,Capital,Shrine of Bari Imam,Religious,Medium,Closed,"Shia Muslim Annual 
Congregation ",Civilian,Shiite/sunni,20.0,25.0,82.0,100.0,1.0,,1. PIMS 2.Polyclinic 3.CDA Hospital 4.federal govt services 5.rwp generl hosp,27.16,80.888,0
17,30,Monday,May,2005,22 Rabi’ al-Thani 1426,Working Day,,evening,Karachi,24.9918,66.9911,Sindh,Courtyard of an Imambargah(Madinatul Ilm ) in Gulshan e Iqbal ,Religious,Medium,Closed,evening prayer,Religious,Shiite,5.0,6.0,19.0,30.0,1.0,,1. Patel Hospital 2. JMPC,31.945,89.501,0
18,9,Thursday,February,2006,10 Muharram 1427,Holiday,Ashura,09:35:00,Hangu,33.5351,71.0713,KPK,Hangu-Tall road-Ashura Procession,Parks Grounds,Low,Open,Ashura Day,Religious,Shiite,37.0,40.0,90.0,,1.0,,Hangu Hospital,15.495,59.891000000000005,0
19,2,Thursday,March,2006,02 Safar 1427,Working Day,,09:00:00,Karachi,24.9918,66.9911,Sindh,Infront of USA consulate near marriott hotel,Hotel,Medium,Open,Terrorists attacked convoy of david foy-american diplomat.,Foreigner,Christian,4.0,5.0,30.0,54.0,1.0,10-15 kg,,25.3,77.54,0
20,12,Wednesday,April,2006,14 Rabi’ al-Awwal 1427,Holiday,Eid Milad un-Nabi,7.00 pm,Karachi,24.9918,66.9911,Sindh,Nishter Park ,Parks Grounds,Medium,Open,Eid Miladun Nabi,Religious,Sunni,47.0,57.0,,100.0,1.0,5 kg,1. Liaquat National Hospital 2. Civil Hospital KHI 3. JPMC 4. Abbasi Shaheed Hospital,28.415,83.147,0
21,2,Friday,June,2006,06 Jumada al-Ula 1427,Working Day,,10.30 am,Bannu,32.9861,70.6042,KPK,Bakkahel Area of FR Bannu,Mobile,High,Open,Army convoy ,Military,,6.0,7.0,7.0,8.0,1.0,,1. Combined Military 2. Hospital Peshawar,26.125,79.025,0
22,26,Monday,June,2006,30 Jumada al-Ula 1427,Working Day,,15:30:00,North Waziristan,32.9746,70.1456,FATA,"Aisha Checkpoint-10km East of 
Miranshah",Military,High,Open,,Military,,6.0,7.0,,26.0,1.0,,,28.61,83.49799999999999,0
23,6,Sunday,August,2006,12 Rajab 1427,Holiday,Weekend,8.00 am,Lasbela,25.8377,66.5224,Balochistan,"Zehri Street-Main Market
Hub",Market,Low,Open,,Civilian,,,1.0,,0.0,1.0,,,27.5,81.5,1
24,8,Wednesday,November,2006,17 Shawwal 1427,Working Day,,8.30am,Malakand ,34.503,71.9046,KPK,Dargai Military Base-100km north of Peshawar,Military,High,Open,Recruits parade,Military,,40.0,42.0,20.0,39.0,1.0,,"1. CMH Mardan
2. CMH Peshawar",19.205,66.569,0
25,17,Friday,November,2006,26 Shawwal 1427,Working Day,,7.30 am/7:15AM,Peshawar,34.0043,71.5448,KPK,"Fayaz Khalil Shaheed
Chowk",Mobile,High,Open,Police & Rangers van,Police_Rangers,,,1.0,,2.0,1.0,,,17.275,63.095,0
26,3,Sunday,December,2006,12 Dhul-Qi’dah 1427,Holiday,Weekend,,Bannu,32.9861,70.6042,KPK,Speen Tangi-Kohatbannu road,Police Rangers,High,Open,,Police_Rangers,,,1.0,,1.0,1.0,,,4.705,40.469,1
27,22,Monday,January,2007,03 Muharram 1428,Working Day,,10:30:00,North Waziristan,32.9746,70.1456,FATA,"Miltary convoy near Mir ali north
Wazirstan ",Mobile,High,Open,Military convoy,Military,,4.0,5.0,23.0,25.0,1.0,,,2.325,36.185,0
28,26,Friday,January,2007,07 Muharram 1428,Working Day,,14:37:00,Islamabad,33.718,73.0718,Capital,IslamabadMarriott Hotal ,Hotel,Medium,Closed,Indian High Commission Function,Foreigner,,1.0,2.0,5.0,7.0,1.0,,1.poly Clinic Hospital,16.3,61.34,0
29,27,Saturday,January,2007,08 Muharram 1428,Working Day,Weekend,20:40:00,Peshawar,34.0043,71.5448,KPK,near Mosque in QissaKhawani Bazaar,Religious,Medium,Closed,Muharram procession about to start,Civilian,Shiite,13.0,15.0,30.0,60.0,1.0,,1.Lady Reading hospital,15.165,59.297,1
30,29,Monday,January,2007,10 Muharram 1428,Holiday,Ashura,,D.G Khan,31.8238,70.9095,KPK,Checkpost Dera Ismial Khan ,Police Rangers,High,Open,Muharram procession,Civilian,Shiite,2.0,3.0,,7.0,1.0,,"1.DIK Headquarters 
Hospital",17.745,63.941,0
31,3,Saturday,February,2007,15 Muharram 1428,Working Day,Weekend,06:17:00,Lakki Marwat,32.6018,70.9148,KPK,"Ghazanikhel Market 
Laik marwat",Market,Low,Open,,Civilian,,,1.0,,,1.0,,,17.52,63.536,1
32,3,Saturday,February,2007,15 Muharram 1428,Working Day,Weekend,12:15:00,Tank,31.8238,70.9095,KPK,Military Convoy Barakhel area-tank,Mobile,High,Open,Military convoy,Military,,,2.0,7.0,8.0,1.0,,1.CMH  Dera,19.935,67.883,1
33,6,Tuesday,February,2007,18 Muharram 1428,Working Day,,8:50:00 PM/9:10 PM,Islamabad,33.718,73.0718,Capital,IslamabadAirport ,Airport,High,Open,,Civilian,,,1.0,3.0,10.0,1.0,,,16.635,61.943000000000005,0
34,17,Saturday,February,2007,29 Muharram 1428,Working Day,Weekend,11:05:00,Quetta,30.2095,67.0182,Balochistan,"QuettaDistrict court senior civil
 judge District Court",Government,High,Closed,,Civilian,,16.0,17.0,30.0,35.0,1.0,,"1.Quttea Civil hospital 
2.Bolan medical hospital",8.72,47.696000000000005,1
35,29,Thursday,March,2007,10 Rabi’ al-Awwal 1428,Working Day,,11:45:00,Gujrat,32.5737,74.0786,Punjab,"Army training area guliana 
near Kharian Contonment",Military,High,Open,,Military,,1.0,2.0,6.0,8.0,1.0,,"1.Combined Military
 Hospital",25.595,78.071,0
36,28,Saturday,April,2007,11 Rabi’ al-Thani 1428,Working Day,Weekend,18:55:00,Charsadda,34.1509,71.7359,KPK,"Federal Interior Minister Speech 
rallyy hometown Charsadda",Parks Grounds,Low,Open,Rally Charsadda,Government Official,,25.0,35.0,29.0,60.0,1.0,,"1.District Headquarters Hospital
 2.Lady Reading Hospital",28.055,82.499,1
37,15,Tuesday,May,2007,28 Rabi’ al-Thani 1428,Working Day,,12:55:00,Peshawar,34.0043,71.5448,KPK,PeshawarHotel ,Hotel,Medium,Closed,,Foreigner,Sunni,22.0,26.0,12.0,35.0,1.0,,1.Lady Reading Hospital,31.1,87.98,0
38,28,Monday,May,2007,11 Jumada al-Ula 1428,Working Day,,About 12pm,Tank,32.226,70.3761,KPK,Boltonabad aera,Mobile,High,Open,rammed the vehicle into FC vehicle,Military,,,3.0,,2.0,1.0,,,24.935,76.883,0
39,4,Wednesday,July,2007,19 Jumada al-Akhirah 1428,Working Day,,10:25am,North Waziristan,32.9746,70.1456,FATA,Miltary convoy in bannu Gurbaz area,Mobile,High,Open,Military convoy,Military,,8.0,10.0,9.0,12.0,1.0,,1.CMH Peshawar,26.975,80.555,0
40,12,Thursday,July,2007,27 Jumada al-Akhirah 1428,Working Day,,,Swat,35.2227,72.4258,KPK,Security Force convoy in mingora,Mobile,High,Open,Military convoy,Military,,6.0,7.0,4.0,8.0,1.0,,"1.Agency Headquarters 
hospital",31.74,89.132,0
41,12,Thursday,July,2007,27 Jumada al-Akhirah 1428,Working Day,,16:30:00,North Waziristan,32.9746,70.1456,FATA,Political Agent Office in Miranshah,Government,High,Closed,,Government official,,2.0,4.0,,3.0,1.0,,,31.39,88.50200000000001,0
42,14,Saturday,July,2007,29 Jumada al-Akhirah 1428,Working Day,Weekend,14:00:00,North Waziristan,32.9746,70.1456,FATA,Razmak town’s Daznaray area-20kms to the north of Miramshah,Mobile,High,Open,Frontier Constabulary convoy,Military,,23.0,24.0,26.0,29.0,1.0,,1.CMH Bannu hospital,26.02,78.836,1
43,15,Sunday,July,2007,01 Rajab 1428,Holiday,Weekend,3:30 PM-4:00:00 PM/4:15PM,D.G Khan,31.8238,70.9095,KPK,Police & Rangers recruitment center,Police Rangers,High,Closed,recruitment process in progress,Police_Rangers,,25.0,30.0,50.0,61.0,1.0,,"1.District Headquarters 
Hospital",28.82,83.876,1
44,15,Sunday,July,2007,01 Rajab 1428,Holiday,Weekend,between 7:00-7:40 AM,Swat,35.2227,72.4258,KPK,Matta,Mobile,High,Open,Police & Rangers bus going from Kabal to Matta,Police_Rangers,,17.0,20.0,40.0,47.0,1.0,,,27.255,81.059,1
45,17,Tuesday,July,2007,03 Rajab 1428,Working Day,,08:27:00,Islamabad,33.718,73.0718,Capital,outside the venue of distric bar convention council Islamabad,Government,High,Open,Chief Justice Iftikhar muhammad ch had to address overthere,Government official,,16.0,17.0,50.0,70.0,1.0,,1.Fedral govt services hospital 2.PIMS,28.875,83.975,0
46,17,Tuesday,July,2007,03 Rajab 1428,Working Day,,13:30:00,North Waziristan,32.9746,70.1456,FATA,"Security check post Miramshah 
North Wazirstan ",Military,High,Open,,Military,,,4.0,2.0,3.0,1.0,,1.CMH Bannu hospital,26.945,80.501,0
47,19,Thursday,July,2007,05 Rajab 1428,Working Day,,08:40:00,Lasbela,25.8377,66.5224,Balochistan,Industrial town hub baluchistan ,Mobile,High,Open,chinese engineers were going from Karachito Hub,Foreigner,Christian,28.0,30.0,28.0,50.0,1.0,,,32.395,90.311,0
48,19,Thursday,July,2007,05 Rajab 1428,Working Day,,07:50:00,Hangu,33.5351,71.0713,KPK,Training Center in Hangu,Police Rangers,High,Closed,,Police_Rangers,,6.0,8.0,30.0,35.0,1.0,,,30.735,87.323,0
49,19,Thursday,July,2007,05 Rajab 1428,Working Day,,,Kohat,33.5833,71.4333,KPK,KohatMosque ,Religious,Medium,Closed,,Religious,Sunni,15.0,20.0,8.0,58.0,1.0,,CMH Kohat,30.275,86.495,0
50,20,Friday,July,2007,06 Rajab 1428,Working Day,,12:30:00 PM/11:00AM,North Waziristan,32.9746,70.1456,FATA,"Security check post Miramshah 
North Wazirstan ",Military,High,Open,,Military,,,4.0,5.0,6.0,1.0,,,28.375,83.075,0
51,27,Friday,July,2007,13 Rajab 1428,Working Day,,17:25:00,Islamabad,33.718,73.0718,Capital,near Hotel in Abpara market,Hotel,Medium,Closed,,Police_Rangers,,14.0,15.0,50.0,70.0,1.0,,"1.Federal Government
 services hospital
2.Capital Development 
Authority hospital",26.39,79.502,0
52,3,Friday,August,2007,20 Rajab 1428,Working Day,,Night,Swat,35.2227,72.4258,KPK,District Swatgora village matta,Mobile,Low,Open,,Civilian,,,2.0,5.0,6.0,1.0,,,28.01,82.41799999999999,0
53,4,Saturday,August,2007,21 Rajab 1428,Working Day,Weekend,10:30am,Kuram Agency ,32.9746,70.1456,FATA,Parachinar,Transport,Low,Open,,Civilian,Sunni,9.0,23.0,35.0,43.0,1.0,,"1.Agency Headqurters 
Hospital",25.835,78.503,1
54,17,Friday,August,2007,04 Sha’ban 1428,Working Day,,,Tank,32.226,70.3761,KPK, Military Convoys in Tankdistrict,Mobile,High,Open,,Military,,,,3.0,5.0,1.0,,,26.185,79.133,0
55,19,Sunday,August,2007,06 Sha’ban 1428,Holiday,Weekend,,North Waziristan,32.9746,70.1456,FATA,"North Wazirstan Mirali Military
 checkpost ",Military,High,Open,,Military,,,2.0,,2.0,1.0,,,29.01,84.21799999999999,1
56,19,Sunday,August,2007,06 Sha’ban 1428,Holiday,Weekend,,Bannu,32.9861,70.6042,KPK,Bannu Police & Rangers Check post ,Police Rangers,High,Open,,Police_Rangers,,,1.0,,4.0,1.0,,,29.965,85.93700000000001,1
57,20,Monday,August,2007,07 Sha’ban 1428,Working Day,,09:00:00,Hangu,33.5351,71.0713,KPK,"Checkpost on thall-parachinar road/kurram road
 mandori village ",Military,High,Open,,Military,,3.0,7.0,14.0,18.0,1.0,,1.Nawagai hospital,27.195,80.95100000000001,0
58,24,Friday,August,2007,11 Sha’ban 1428,Working Day,,,North Waziristan,32.9746,70.1456,FATA,miranshah Military convoys ,Mobile,High,Open,military convoy,Military,,6.0,7.0,22.0,37.0,2.0,,1.Bannu Hospital,28.365,83.057,0
